property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
2134,-37.78531265,144.8717957,3/53 Richelieu Street,MAIDSTONE,6000000,house,2009,3,2,1,SC_043,1.297,20022,1.736,21.6,0,hospital_056,1.537,S_149,1.297
76207,-37.902553999999995,145.092796,42 Oxford Street,OAKLEIGH,8670000,house,2009,1,1,1,SC_087,1.856,19917,0.463,33.851851851851855,0,hospital_166,1.214,S_167,1.856
590,-37.79920197,144.88829040000002,207 Gordon Street,FOOTSCRAY,3248000,house,2008,2,1,0,SC_043,2.435,20023,0.39,19.6,0,hospital_056,0.7,S_201,0.872
65617,-37.780288,145.327282,10 Greenslopes Drive,MOOROOLBARK,9345000,house,2016,3,1,2,SC_084,2.73,19877,1.4,54.5,0,hospital_113,3.164,S_168,2.485
92190,-37.981966,145.068601,29 Balcombe Road,MENTONE,11640000,house,2015,3,1,0,SC_003,2.163,19865,0.302,38.9,0,hospital_133,0.184,S_011,0.543
75050,-37.886978000000006,145.054462,32c Toolambool Road,CARNEGIE,9096000,house,2010,4,2,1,SC_041,0.444,19920,0.371,28.0,0,hospital_108,2.281,S_015,0.188
84958,-37.880025,144.986066,43 John Street,ELWOOD,9800000,house,2016,3,2,1,SC_015,1.347,19955,0.927,15.0,0,hospital_009,1.88,S_133,0.991
38480,-37.778690999999995,145.028468,96 Wingrove Street,ALPHINGTON,8550000,house,2015,3,1,1,SC_001,1.677,19931,0.247,20.076923076923077,0,hospital_029,1.264,S_219,1.646
5958,-37.79210663,144.8448181,1 Parsons Street,SUNSHINE,4730000,house,2009,2,1,1,SC_102,1.471,20021,1.123,25.666666666666668,0,hospital_174,1.935,S_149,1.478
48255,-37.808528,145.031238,3 Queen Street,KEW,15840000,house,2011,3,2,0,SC_083,1.383,19904,1.511,20.458333333333332,0,hospital_086,1.204,S_039,0.309
48345,-37.803263,145.036206,36 Cobden Street,KEW,18200000,house,2015,4,1,2,SC_083,1.916,19904,2.027,20.458333333333332,0,hospital_064,1.224,S_039,0.542
27357,-37.580665,144.90798999999998,6 Cordyline Grove,CRAIGIEBURN,3555000,house,2011,4,2,2,SC_005,1.292,40221,3.906,45.92857142857143,0,hospital_104,7.872,S_178,2.733
30278,-37.781778,144.99803300000002,6/52 Westgarth Street,NORTHCOTE,7095000,house,2013,3,1,1,SC_001,4.148,19928,0.167,13.928571428571429,0,hospital_035,2.271,S_200,2.535
33646,-37.708996,145.020825,112 Rathcown Road,RESERVOIR,8505000,house,2015,3,1,2,SC_047,3.394,20009,1.003,33.083333333333336,0,hospital_025,2.159,S_225,1.903
89108,-37.95634079,145.0189819,10 Medhurst Street,SANDRINGHAM,8600000,house,2007,3,1,2,SC_079,2.098,19948,1.432,28.933333333333334,0,hospital_058,0.576,S_214,1.247
74732,-37.88827515,145.0705872,1A Wahroongaa Road,MURRUMBEENA,8976000,house,2009,3,1,2,SC_087,0.967,19919,0.354,29.892857142857142,0,hospital_108,2.509,S_167,0.967
52845,-37.822390999999996,145.007484,264a Burnley Street,RICHMOND,8100000,house,2012,3,2,1,SC_038,2.025,19906,0.575,12.774193548387096,0,hospital_122,0.43,S_076,1.767
362,-37.80462265,144.88854980000002,146 Pilgrim Street,SEDDON,6650000,house,2008,4,1,0,SC_043,2.673,20024,0.349,17.6,0,hospital_056,1.296,S_201,0.937
73338,-37.86387,145.278183,24 Stonehaven Avenue,BORONIA,8620000,house,2015,3,2,2,SC_049,4.305,19869,0.665,53.0,0,hospital_049,0.422,S_024,0.613
21585,-37.758717,144.970282,82 Barrow Street,BRUNSWICK,5670000,house,2011,3,1,0,SC_030,3.424,19966,0.881,26.0,0,hospital_144,0.283,S_074,1.53
24847,-37.673165999999995,144.965407,85 Sycamore Crescent,CAMPBELLFIELD,5950000,house,2015,3,1,1,SC_072,4.551,19960,1.824,39.0,0,hospital_104,4.688,S_161,1.927
78339,-37.933013,145.185503,70 Bertrand Avenue,MULGRAVE,7947000,house,2016,5,3,2,SC_073,2.978,19891,3.287,45.95652173913044,0,hospital_161,2.503,S_067,0.424
21466,-37.77833939,144.9641876,663 Park Street,BRUNSWICK,18480000,house,2008,4,2,2,SC_008,3.763,19969,0.609,20.0,0,hospital_024,1.471,S_138,0.279
84573,-37.883171000000004,144.98877199999998,108 Glenhuntly Road,ELWOOD,11920000,house,2014,3,2,2,SC_015,1.761,19955,0.988,15.0,0,hospital_116,1.826,S_133,1.192
96915,-37.99954,145.26273,5 Timothy Court,HALLAM,3817000,house,2014,3,1,1,SC_077,1.413,19885,2.118,58.54545454545455,0,hospital_119,4.161,S_212,0.633
52885,-37.821496999999994,145.01013400000002,28 Stawell Street,RICHMOND,22720000,house,2016,3,1,0,SC_038,2.13,19906,0.712,12.774193548387096,0,hospital_122,0.595,S_076,1.842
31057,-37.762251,145.012992,280 Victoria Road,THORNBURY,6985000,house,2011,3,1,0,SC_001,2.611,20015,1.417,21.0,0,hospital_035,0.459,S_105,1.493
96897,-38.002363,145.260739,5 Everton Close,HALLAM,5250000,house,2016,5,2,2,SC_077,1.135,19885,1.886,58.54545454545455,0,hospital_119,4.136,S_212,0.506
33698,-37.714364,144.98225300000001,12 Kelverne Street,RESERVOIR,6300000,house,2011,3,1,2,SC_103,3.3,19962,1.912,33.0,0,hospital_139,1.437,S_030,1.7
17223,-37.698745,144.931985,41 Hilda Street,GLENROY,5100000,house,2013,3,1,1,SC_030,4.073,20032,1.451,32.875,0,hospital_184,5.396,S_209,1.071
30916,-37.756921999999996,144.997472,2/33 Harold Street,THORNBURY,4911500,house,2011,2,1,2,SC_103,1.97,20014,0.23,23.0,0,hospital_035,1.13,S_105,0.847
1820,-37.809124,144.875706,15 Bishop Street,KINGSVILLE,9024000,house,2016,4,2,1,SC_043,2.127,20023,1.174,19.6,0,hospital_056,2.005,S_149,2.127
22383,-37.744226,144.975213,25 Belgrave Street,COBURG,7200000,house,2013,3,2,2,SC_103,2.41,19965,1.066,28.0,0,hospital_144,1.397,S_173,0.815
19540,-37.67533875,144.9012299,11 Dooen Court,WESTMEADOWS,2761000,house,2008,3,1,2,SC_059,2.027,20030,1.833,36.875,0,hospital_104,3.222,S_153,1.825
19044,-37.693296999999994,144.924768,6 Colin Court,BROADMEADOWS,4270000,house,2015,2,1,1,SC_059,3.552,20031,0.812,34.875,0,hospital_104,4.758,S_209,1.416
5134,-37.871315,144.822199,3/237 The Esplanade,ALTONA,9100000,house,2010,2,1,2,SC_033,5.418,19926,0.802,30.166666666666668,0,hospital_141,6.176,S_128,0.779
80533,-37.98803329,145.1819,8 York Court,KEYSBOROUGH,9540000,house,2009,3,1,3,SC_057,0.915,19889,1.382,50.57142857142857,0,hospital_096,1.141,S_079,1.0
33824,-37.713390000000004,144.98767800000002,14 Dyson Street,RESERVOIR,5880000,house,2009,4,1,0,SC_103,3.175,20010,1.745,32.083333333333336,0,hospital_139,1.026,S_030,1.84
18274,-37.670941,144.92261399999998,16 Lilliput Street,BROADMEADOWS,3450000,house,2010,3,2,2,SC_072,2.247,44817,1.147,39.92857142857143,0,hospital_104,2.262,S_153,0.8
54667,-37.826722,145.031802,65 Lisson Grove,HAWTHORN,4524000,house,2016,4,1,2,SC_083,0.772,19904,0.713,20.458333333333332,0,hospital_127,0.318,S_208,0.818
21150,-37.765446000000004,144.957956,38  Henkel St,BRUNSWICK,5278000,house,2009,2,1,0,SC_030,3.742,19968,0.291,21.0,0,hospital_011,1.209,S_074,0.517
17981,-37.692098,144.932459,10 GRAHAM STREET,BROADMEADOWS,4992000,house,2016,3,1,2,SC_059,4.207,20031,1.501,34.875,0,hospital_104,4.729,S_209,1.718
75681,-37.89935,145.07802900000002,126 Kangaroo Road,HUGHESDALE,8088000,house,2010,2,1,1,SC_087,1.257,19918,0.499,31.85185185185185,0,hospital_166,2.455,S_167,1.256
58529,-37.806154,145.179525,12 Ashwood Drive,NUNAWADING,7800000,house,2014,3,1,1,SC_088,1.466,19899,1.659,36.592592592592595,0,hospital_070,1.322,S_202,1.998
6579,-37.791498,144.84334199999998,3 Norma Street,SUNSHINE,7350000,house,2015,3,1,1,SC_102,1.334,20021,0.978,25.666666666666668,0,hospital_174,1.808,S_080,1.421
92625,-38.002101,145.079981,11 Rosella Road,PARKDALE,13780000,house,2014,3,1,2,SC_003,3.538,19863,0.838,44.36842105263158,0,hospital_001,1.423,S_119,0.886
24172,-37.718036,144.975089,21 Madina Street,FAWKNER,7280000,house,2012,4,2,2,SC_030,2.718,19963,1.255,32.0,0,hospital_139,2.023,S_030,1.488
85466,-37.88305664,145.0153503,275 Kooyong Rd,ELSTERNWICK,13200000,house,2008,3,1,2,SC_023,2.535,19954,1.284,16.9375,0,hospital_080,0.118,S_193,0.931
58487,-37.823138,145.174155,10 Sugargum Court,NUNAWADING,15600000,house,2016,4,2,2,SC_002,0.481,19899,0.29,36.592592592592595,0,hospital_060,1.929,S_202,0.201
20043,-37.794221,144.974242,131-133 Station Street,CARLTON,23790000,house,2016,3,2,1,SC_008,2.0,19975,1.861,10.8125,0,hospital_188,0.983,S_200,0.541
66543,-37.764348,145.320845,6 Drummer Hill Lane,MOOROOLBARK,11390000,house,2014,5,2,2,SC_084,0.92,19877,2.389,54.5,0,hospital_113,2.999,S_168,0.622
